scenario,tau_us,wc_rad_s,wc_Hz,w0_rad_s,pole1_rad_s,pole2_rad_s,pole3_rad_s,pole3_asymptotic_rad_s,bw3dB_continuous_Hz,bw3dB_discrete_Hz
A_sampling_rate,20,1904.7619047619,303.152272555991,9523.80952380952,-148.413603834194,-25957.1149388012,-44846.8524097456,164.914450628736,23.574946369045,24.4932357565098
C_feedback_delay,20,481.927710843373,76.7011773936845,2409.63855421687,-10.2642070547975,-5472.27919616578,-49818.6614160565,10.5570144763061,1.62977144732053,3
